"id","producto","tienda","categorias","variantes_origen","variantes_presentadas","duplicados_agrupados","etiquetas_genericas_origen","estado","controles","valores"
"ss-es-05d6c8edda81","Chaleco Q36.5 L1 Essential Negro","365Rider","Deporte | Ciclismo","2","2","0","0","configurador","Talla (buttons)","Talla: S / XL"
"fam-37945b94d1af","Samsung Galaxy Tab A11 Cuádruples","Amazon ES","Tecnología","2","1","1","0","duplicados_agrupados","",""
"fam-5e2e60618029","361 MIRO NUDE","BIKILA ES","Deporte | Running","3","3","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9.5 / 10"
"fam-28dff81cff27","ADI365 CLIMACOOL+ 2 POCKET SHORTS","BIKILA ES","Deporte | Running","2","2","0","0","configurador","Talla (buttons)","Talla: M / L"
"fam-47b06304156f","ADIDAS ADI365 CLIMACOOL TEE","BIKILA ES","Deporte | Running","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
"fam-de8209a5f9e9","ADIDAS ADI365 FORMOTION 2IN1 SHORT","BIKILA ES","Deporte | Textil deportivo","2","2","0","0","configurador","Talla (buttons)","Talla: M / L"
"fam-36f70c5db932","ADIDAS ADI365 FORMOTION SHORT","BIKILA ES","Deporte | Textil deportivo","6","6","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: S / M / L"
"fam-94ebdc378fb1","ADIDAS ADISTAR 5","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 9 / 9.5 / 10 / 10.5 / 11"
"fam-a03ceac70d57","ADIDAS ADISTAR 5 MUJER","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9"
"fam-d4e409946110","ADIDAS ADISTAR BYD 2","BIKILA ES","Deporte | Running","35","35","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-f23040f0f55f","ADIDAS ADISTAR BYD 2 MUJER","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 6 / 7 / 7.5 / 8 / 8.5"
"fam-5cacfa1208a5","ADIDAS ADIZERO ADIOS 9","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-15c11db180cf","ADIDAS ADIZERO ADIOS 9 MUJER","BIKILA ES","Deporte | Running","16","16","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5"
"fam-4c63431b1a99","ADIDAS ADIZERO AMBITION 2","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10"
"fam-e1e79a494e66","ADIDAS ADIZERO AVANTI 2","BIKILA ES","Deporte | Running","11","11","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 7.5 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11"
"fam-5a1d2a4f2bda","ADIDAS ADIZERO BOSTON 13","BIKILA ES","Deporte | Running","37","37","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-d74f8967e996","ADIDAS ADIZERO BOSTON 13 MUJER","BIKILA ES","Deporte | Running","8","8","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5"
"fam-ba34ea69d241","ADIDAS ADIZERO CAP","BIKILA ES","Deporte | Running","3","3","0","1","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3"
"fam-e385d550851a","ADIDAS ADIZERO DROPSET PRO","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8 / 9 / 9.5 / 10 / 10.5 / 12"
"fam-9e49f88a6357","ADIDAS ADIZERO DROPSET PRO MUJER","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9"
"fam-a66c8f5123fd","ADIDAS ADIZERO EVO SL ATR","BIKILA ES","Deporte | Running","18","18","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-2290b5397bb6","ADIDAS ADIZERO EVO SL ATR MUJER","BIKILA ES","Deporte | Running","8","8","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5"
"fam-6cb3e8e7f00b","ADIDAS ADIZERO EVO SL MUJER","BIKILA ES","Deporte | Running","7","7","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9"
"fam-64eafdbd35e1","ADIDAS ADIZERO EVO SL WOVEN","BIKILA ES","Deporte | Running","50","50","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-f3bf707fdac2","ADIDAS ADIZERO EVO SL WOVEN MUJER","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5"
"fam-5e79bc875a7a","ADIDAS ADIZERO FINESSE","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 11 / 11.5"
"fam-fc013f2a5537","ADIDAS ADIZERO HJ","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-6d2b0510e7d8","ADIDAS ADIZERO JAVELIN","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11.5"
"fam-4c313c53cda6","ADIDAS ADIZERO LJ","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-45117236fb7a","ADIDAS ADIZERO PRIME SP 4","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Talla (buttons)","Talla: 5 / 5.5 / 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11"
"fam-d017e10e1e39","ADIDAS ADIZERO PRIME X 3 STRUNG","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons)","Talla: 9 / 9.5 / 10 / 10.5 / 11"
"fam-09ac378bc4c7","ADIDAS ADIZERO TAKUMI 11","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons)","Talla: 9 / 9.5 / 10 / 10.5 / 11"
"fam-96cab5942f3d","ADIDAS ADIZERO THROWS","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Talla (buttons)","Talla: 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 12 / 13"
"fam-a7d826fc4aff","ADIDAS ADIZERO TJ PV","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 8 / 8.5 / 9 / 10 / 10.5 / 11 / 11.5"
"fam-decd68af94e6","ADIDAS ADIZERO XCS","BIKILA ES","Deporte | Running","7","7","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-9d8430dc30d8","ADIDAS AEROREADY RUN GLOVES","BIKILA ES","Deporte | Running","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
