id,merchant_id,market,currency,source_sku,title,source_title,brand,department,category,categories,description,short_description,image_urls,color,sizes,price,original_price,discount_percent,availability,condition,active,product_type,keywords,affiliate_url,landing_url,launch_date,priority,editorial_score,available_variants,total_variants,translation_status
lounge-15534698201470-es,lounge-eu,ES,EUR,15534698201470,Body Camellia – rosa,Camellia Bodysuit - Pink,Lounge Underwear,Moda mujer,Lencería · Bodies,"women-fashion,featured","Body Camellia – rosa de Lounge. Tallas disponibles: XS, S, S+, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Body Camellia – rosa. Disponible en Lounge EU desde 90.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1.CarmelliaBodysuit.jpg?v=1758727158|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2.CarmelliaBodysuit.jpg?v=1758727158|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3.CarmelliaBodysuit.jpg?v=1758727158|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4.CarmelliaBodysuit.jpg?v=1758727159|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5.CarmelliaBodysuit.jpg?v=1758727158|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6.CarmelliaBodysuit.jpg?v=1758727158,rosa,"XS,S,S+,M,L,XL,XXL",90.0,,0,in_stock,new,True,Intimates,"body,camellia,rosa,lounge,lencería,bodies",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15534698201470&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fcamellia-bodysuit-pink&intsrc=CATF_35417,https://eu.lounge.com/products/camellia-bodysuit-pink,2025-08-18,A,32,7,7,borrador_controlado_revisar_antes_de_publicar
lounge-15711644090750-es,lounge-eu,ES,EUR,15711644090750,Body Evelyn – negro,Evelyn Bodysuit - Black,Lounge Underwear,Moda mujer,Lencería · Bodies,"women-fashion,featured","Body Evelyn – negro de Lounge. Tallas disponibles: XS, S, S+, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Body Evelyn – negro. Disponible en Lounge EU desde 95.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1_EVELYN_BODYSUIT.jpg?v=1768294725|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2EVELYN_BODYSUIT.jpg?v=1768294725|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3_EVELYN_BODYSUIT.jpg?v=1768294725|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4_EVELYN_BODYSUIT.jpg?v=1768294724|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5_EVELYN_BODYSUIT.jpg?v=1768294725|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6_EVELYN_BODYSUIT.jpg?v=1768294725,negro,"XS,S,S+,M,L,XL,XXL",95.0,,0,in_stock,new,True,Intimates,"body,evelyn,negro,lounge,lencería,bodies",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15711644090750&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fevelyn-bodysuit-black&intsrc=CATF_35417,https://eu.lounge.com/products/evelyn-bodysuit-black,2025-12-11,A,32,7,7,borrador_controlado_revisar_antes_de_publicar
lounge-15534727332222-es,lounge-eu,ES,EUR,15534727332222,Body Evelyn – verde,Evelyn Bodysuit - Green,Lounge Underwear,Moda mujer,Lencería · Bodies,"women-fashion,featured","Body Evelyn – verde de Lounge. Tallas disponibles: XS, S, S+, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Body Evelyn – verde. Disponible en Lounge EU desde 95.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1.EvelynBodysuit.png?v=1758727171|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2.EvelynBodysuit.png?v=1758727172|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3.EvelynBodysuit.png?v=1758727172|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4.EvelynBodysuit.png?v=1758727172|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5.EvelynBodysuit.png?v=1758727172|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6.EvelynBodysuit.png?v=1758727171,verde,"XS,S,S+,M,L,XL,XXL",95.0,,0,in_stock,new,True,Intimates,"body,evelyn,verde,lounge,lencería,bodies",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15534727332222&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fevelyn-bodysuit-green&intsrc=CATF_35417,https://eu.lounge.com/products/evelyn-bodysuit-green,2025-08-18,A,32,7,7,borrador_controlado_revisar_antes_de_publicar
lounge-6645986459684-es,lounge-eu,ES,EUR,6645986459684,Body Priya – negro,Priya Bodysuit - Black,Lounge Underwear,Moda mujer,Lencería · Bodies,"women-fashion,featured","Body Priya – negro de Lounge. Tallas disponibles: XS, S, S+, M. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Body Priya – negro. Disponible en Lounge EU desde 42.50 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1BlackPriyaBodysuit-Amber.jpg?v=1710413520|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2BlackPriyaBodysuit-Amber.jpg?v=1710413519|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3BlackPriyaBodysuit-Amber.jpg?v=1710413519|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4BlackPriyaBodysuit-Amber.jpg?v=1710413520|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5BlackPriyaBodysuit-Amber.jpg?v=1710413521|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6BlackPriyaBodysuit-Amber.jpg?v=1710413521,negro,"XS,S,S+,M",42.5,85.0,50,in_stock,new,True,Intimates,"body,priya,negro,lounge,lencería,bodies",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=6645986459684&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fpriya-bodysuit-black&intsrc=CATF_35417,https://eu.lounge.com/products/priya-bodysuit-black,2021-06-15,A,33,4,8,borrador_controlado_revisar_antes_de_publicar
lounge-15855285993854-es,lounge-eu,ES,EUR,15855285993854,Body Soraya – champán,Soraya Bodysuit - Champagne,Lounge Underwear New,Moda mujer,Lencería · Bodies,"women-fashion,featured","Body Soraya – champán de Lounge. Tallas disponibles: XS, S, S+, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Body Soraya – champán. Disponible en Lounge EU desde 85.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1.SorayaBodysuit.jpg?v=1779287990|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2.SorayaBodysuit.jpg?v=1779287991|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3.SorayaBodysuit.jpg?v=1779287991|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4.SorayaBodysuit.jpg?v=1779287991|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5.SorayaBodysuit.jpg?v=1779287991|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6.SorayaBodysuit.jpg?v=1779287991,champán,"XS,S,S+,M,L,XL,XXL",85.0,,0,in_stock,new,True,Intimates,"body,soraya,champán,lounge,lencería,bodies",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15855285993854&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fsoraya-bodysuit-champagne&intsrc=CATF_35417,https://eu.lounge.com/products/soraya-bodysuit-champagne,2026-04-10,A,37,7,7,borrador_controlado_revisar_antes_de_publicar
lounge-15855286026622-es,lounge-eu,ES,EUR,15855286026622,Conjunto de corsé y tanga Selene – higo,Selene Basque Thong (Set) - Fig,Lounge Underwear New,Moda mujer,Lencería · Braguitas y tangas,"women-fashion,featured","Conjunto de corsé y tanga Selene – higo de Lounge. Tallas disponibles: XS, S, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Conjunto de corsé y tanga Selene – higo. Disponible en Lounge EU desde 25.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4.SeleneBasque.png?v=1779287993,higo,"XS,S,M,L,XL,XXL",25.0,,0,in_stock,new,True,Intimates Set Bottoms,"conjunto,de,corsé,y,tanga,selene,higo,lounge,lencería,braguitas,tangas",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15855286026622&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fselene-basque-thong-fig&intsrc=CATF_35417,https://eu.lounge.com/products/selene-basque-thong-fig,2026-04-10,A,34,6,6,borrador_controlado_revisar_antes_de_publicar
lounge-15855283569022-es,lounge-eu,ES,EUR,15855283569022,Conjunto de liguero y tanga Roxanna – higo,Roxanna Intimates Suspender & Thong (Set) - Fig,Lounge Underwear New,Moda mujer,Lencería · Braguitas y tangas,"women-fashion,featured","Conjunto de liguero y tanga Roxanna – higo de Lounge. Tallas disponibles: XS, S, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Conjunto de liguero y tanga Roxanna – higo. Disponible en Lounge EU desde 50.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2.RoxannaIntimatesSet.png?v=1779287991,higo,"XS,S,M,L,XL,XXL",50.0,,0,in_stock,new,True,Intimates Set Bottoms,"conjunto,de,liguero,y,tanga,roxanna,higo,lounge,lencería,braguitas,tangas",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15855283569022&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Froxanna-intimates-thong-fig&intsrc=CATF_35417,https://eu.lounge.com/products/roxanna-intimates-thong-fig,2026-04-10,A,34,6,6,borrador_controlado_revisar_antes_de_publicar
lounge-15855278784894-es,lounge-eu,ES,EUR,15855278784894,Conjunto de liguero y tanga de hilo Cassandra – azul marino,Cassandra Intimates Suspender & G-String (Set) - Navy,Lounge Underwear New,Moda mujer,Lencería · Braguitas y tangas,"women-fashion,featured","Conjunto de liguero y tanga de hilo Cassandra – azul marino de Lounge. Tallas disponibles: XS, S, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Conjunto de liguero y tanga de hilo Cassandra – azul marino. Disponible en Lounge EU desde 50.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/CassandraNavyIntimates4.jpg?v=1779287991,azul marino,"XS,S,M,L,XL,XXL",50.0,,0,in_stock,new,True,Intimates Set Bottoms,"conjunto,de,liguero,y,tanga,hilo,cassandra,azul,marino,lounge,lencería,braguitas,tangas",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15855278784894&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fcassandra-intimates-g-string-navy&intsrc=CATF_35417,https://eu.lounge.com/products/cassandra-intimates-g-string-navy,2026-04-10,A,34,6,6,borrador_controlado_revisar_antes_de_publicar
lounge-6645935734820-es,lounge-eu,ES,EUR,6645935734820,Tanga Balcony – negro,Balcony Thong - Black,Lounge Underwear,Moda mujer,Lencería · Braguitas y tangas,"women-fashion,under-10,featured","Tanga Balcony – negro de Lounge. Tallas disponibles: XXL, 3XL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Tanga Balcony – negro. Disponible en Lounge EU desde 9.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1BlackBalconyThong-Amina_dd6ceb3b-e2fc-4053-be3b-252598ca211d.jpg?v=1710409412|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2BlackBalconyThong-Amina_81a3f1bd-1429-44ae-9829-cdc648f11f33.jpg?v=1710409413|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3BlackBalconyThong-Amina_602c6714-4e8d-4107-8462-9a3d4f926f69.jpg?v=1710409413|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4BlackBalconyThong-Amina_0a7e0022-6582-4818-ad34-78562f4d544e.jpg?v=1710409412,negro,"XXL,3XL",9.0,18.0,50,in_stock,new,True,Bottoms,"tanga,balcony,negro,lounge,lencería,braguitas,y,tangas",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=6645935734820&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fbalcony-thong-black&intsrc=CATF_35417,https://eu.lounge.com/products/balcony-thong-black,2021-06-15,A,38,2,7,borrador_controlado_revisar_antes_de_publicar
lounge-6645935898660-es,lounge-eu,ES,EUR,6645935898660,Tanga Balcony – rojo,Balcony Thong - Red,Lounge Underwear,Moda mujer,Lencería · Braguitas y tangas,"women-fashion,under-10,featured","Tanga Balcony – rojo de Lounge. Tallas disponibles: XXL, 3XL. El precio y el stock se confirman en la tienda antes de finalizar la compra.",Tanga Balcony – rojo. Disponible en Lounge EU desde 9.00 €.,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1RedBalcony_Thong-Kara_8a649535-0e98-44db-a28f-18f53d667bf3.jpg?v=1710409538|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2RedBalcony_Thong-Kara_e9cd4a6b-05f7-4d87-ac21-14de010f76d1.jpg?v=1710409538|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3RedBalcony_Thong-Kara_fb50d871-c3a0-47e5-b5fa-1690ed62819e.jpg?v=1710409537|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4RedBalcony_Thong-Kara_dc77547c-4cac-46a3-91cd-47b20c690cf6.jpg?v=1710409538,rojo,"XXL,3XL",9.0,18.0,50,in_stock,new,True,Bottoms,"tanga,balcony,rojo,lounge,lencería,braguitas,y,tangas",https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=6645935898660&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fbalcony-thong-red&intsrc=CATF_35417,https://eu.lounge.com/products/balcony-thong-red,2021-06-15,A,38,2,7,borrador_controlado_revisar_antes_de_publicar
