sku,source_title,product_type,reason,parent_stock,total_variants,available_variants,current_price,affiliate_url
39459292053540,Gift Wrap,Gift Wrap,Artículo no comercializable,N,0,0,6.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=39459292053540&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fgift-wrap&intsrc=CATF_35417
7396933566500,Lounge e-Gift Card,Gift Cards,Artículo no comercializable,N,6,0,10.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7396933566500&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flounge-egift-card&intsrc=CATF_35417
6747710226468,The Lounge Foundation Donation,Donation,Artículo no comercializable,N,4,0,1.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=6747710226468&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Ffyb-donation&intsrc=CATF_35417
15612540387710,Adaline Slip Dress (Set) - Berry,Intimates Set,Sin stock en todas las variantes,N,7,0,70.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15612540387710&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fadaline-slip-dress-set-berry&intsrc=CATF_35417
15549637591422,Adore G-String - Wine,Bottoms,Sin stock en todas las variantes,N,6,0,18.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15549637591422&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fadore-g-string-wine&intsrc=CATF_35417
7312074145828,Allure Thong - Black,Bottoms,Sin stock en todas las variantes,N,7,0,9.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7312074145828&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fallure-thong-black&intsrc=CATF_35417
15012498243966,Anti-Gravity Brazilian Briefs - Black,Bottoms,Sin stock en todas las variantes,N,6,0,14.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15012498243966&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fanti-gravity-brazilian-briefs-black&intsrc=CATF_35417
15012498342270,Anti-Gravity Brazilian Briefs - Honey,Bottoms,Sin stock en todas las variantes,N,6,0,14.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15012498342270&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fanti-gravity-brazilian-briefs-honey&intsrc=CATF_35417
15012498309502,Anti-Gravity Brazilian Briefs - Nutmeg,Bottoms,Sin stock en todas las variantes,N,6,0,14.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15012498309502&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fanti-gravity-brazilian-briefs-nutmeg&intsrc=CATF_35417
15012498375038,Anti-Gravity Thong - Nutmeg,Bottoms,Sin stock en todas las variantes,N,6,0,14.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15012498375038&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fanti-gravity-thong-nutmeg&intsrc=CATF_35417
