id,merchant_id,parent_sku,source_title,title_es,title_pt,brand,source_product_type,category_key,category_es,category_pt,site_category,secondary_categories,color_source,color_es,color_pt,available_sizes,available_variants,total_variants,current_price_eur,original_price_eur,discount_percent,availability,condition,active,launch_date,priority,editorial_score,affiliate_url,landing_url,image_urls,source_description,description_es,description_pt,short_description_es,short_description_pt,labels,translation_status
lounge-15534698201470,lounge-eu,15534698201470,Camellia Bodysuit - Pink,Body Camellia – rosa,Body Camellia – rosa,Lounge Underwear,Intimates,lingerie_bodies,Lencería · Bodies,Lingerie · Bodies,women-fashion,featured,Pink,rosa,rosa,"XS,S,S+,M,L,XL,XXL",7,7,90.0,,0,in_stock,new,True,2025-08-18,A,32,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15534698201470&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fcamellia-bodysuit-pink&intsrc=CATF_35417,https://eu.lounge.com/products/camellia-bodysuit-pink,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1.CarmelliaBodysuit.jpg?v=1758727158|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2.CarmelliaBodysuit.jpg?v=1758727158|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3.CarmelliaBodysuit.jpg?v=1758727158|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4.CarmelliaBodysuit.jpg?v=1758727159|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5.CarmelliaBodysuit.jpg?v=1758727158|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6.CarmelliaBodysuit.jpg?v=1758727158,"Underwired Balcony bodysuit, no padding Three-piece cup High-leg shape Visual printed floral embroidery Boning channels to front for added structure Tulle panels to front Cut-out details throughout Binding details throughout Satin bows with rosebud and pearl detail to centre-front Miniature satin bows to bra apex Contrast picot elastic details throughout Decorative strap elastic Binding details throughout Padded hook and eye fastening with debossed logo Swan hook fastening to centre-back G-string back Gold slides to bra straps","Body Camellia – rosa de Lounge. Tallas disponibles: XS, S, S+, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Body Camellia – rosa da Lounge. Tamanhos disponíveis: XS, S, S+, M, L, XL, XXL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Body Camellia – rosa. Disponible en Lounge EU desde 90.00 €.,Body Camellia – rosa. Disponível na Lounge EU desde 90.00 €.,"26/09/25,50%-discount,bestsellers,collection-auto_basque-bodysuit,collection-auto_bodysuits,collection-auto_camellia,collection-auto_camellia-bodysuit,collection-auto_em-rata,collection-auto_festival-outfit,collection-auto_garden-of-eden,collection-auto_gifting,collection-auto_intimate-sets,collection-auto_intimates,collection-auto_pink-underwear,collection-auto_underwear,collection-auto_valentines26,collection-auto_wuthering-heights,color_pink,june-sale-26,main-swatch,staff-50,valentines-13",borrador_controlado_revisar_antes_de_publicar
lounge-15711644090750,lounge-eu,15711644090750,Evelyn Bodysuit - Black,Body Evelyn – negro,Body Evelyn – preto,Lounge Underwear,Intimates,lingerie_bodies,Lencería · Bodies,Lingerie · Bodies,women-fashion,featured,Black,negro,preto,"XS,S,S+,M,L,XL,XXL",7,7,95.0,,0,in_stock,new,True,2025-12-11,A,32,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15711644090750&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fevelyn-bodysuit-black&intsrc=CATF_35417,https://eu.lounge.com/products/evelyn-bodysuit-black,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1_EVELYN_BODYSUIT.jpg?v=1768294725|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2EVELYN_BODYSUIT.jpg?v=1768294725|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3_EVELYN_BODYSUIT.jpg?v=1768294725|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4_EVELYN_BODYSUIT.jpg?v=1768294724|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5_EVELYN_BODYSUIT.jpg?v=1768294725|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6_EVELYN_BODYSUIT.jpg?v=1768294725,"G-string bodysuit with two-piece bra cups Gathered tulle half-cup overlay Visual printed embroidery Contrast picot trim to wire casing Stretch mesh and polka-dot mesh panelling throughout Boning channels to front and back Satin bows with double rosebud detail Contrast miniature satin bows Cut-out details Satin binding details throughout Gathered tulle waist overlay with cinching satin rouleau tie in contrast pink Padded hook and eye fastening with debossed logo Swan hook fastening to centre-back with adjuster Logo-engraved rings and sliders The Evelyn Bodysuit, with its unique waist-cinching tie and structured boning, is a vision in jet-black mesh. This flattering piece is comfortable enough to move around in, with structure and cinching in all the right places.","Body Evelyn – negro de Lounge. Tallas disponibles: XS, S, S+, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Body Evelyn – preto da Lounge. Tamanhos disponíveis: XS, S, S+, M, L, XL, XXL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Body Evelyn – negro. Disponible en Lounge EU desde 95.00 €.,Body Evelyn – preto. Disponível na Lounge EU desde 95.00 €.,"14/01/26,50%-discount,bestsellers,collection-auto_basque-bodysuit,collection-auto_black-underwear,collection-auto_bodysuits,collection-auto_evelyn,collection-auto_evelyn-bodysuit,collection-auto_festival-outfit,collection-auto_gifting,collection-auto_intimate-sets,collection-auto_intimates,collection-auto_underwear,collection-auto_valentines26,collection-auto_wuthering-heights,color_black,feb26-boost,june-sale-26,latest-swatch,staff-50,wuthering-heights",borrador_controlado_revisar_antes_de_publicar
lounge-15534727332222,lounge-eu,15534727332222,Evelyn Bodysuit - Green,Body Evelyn – verde,Body Evelyn – verde,Lounge Underwear,Intimates,lingerie_bodies,Lencería · Bodies,Lingerie · Bodies,women-fashion,featured,Green,verde,verde,"XS,S,S+,M,L,XL,XXL",7,7,95.0,,0,in_stock,new,True,2025-08-18,A,32,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15534727332222&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fevelyn-bodysuit-green&intsrc=CATF_35417,https://eu.lounge.com/products/evelyn-bodysuit-green,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1.EvelynBodysuit.png?v=1758727171|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2.EvelynBodysuit.png?v=1758727172|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3.EvelynBodysuit.png?v=1758727172|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4.EvelynBodysuit.png?v=1758727172|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5.EvelynBodysuit.png?v=1758727172|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6.EvelynBodysuit.png?v=1758727171,G-string bodysuit with two-piece bra cups Gathered tulle half-cup overlay Visual printed embroidery Contrast picot trim to wire casing Stretch mesh and polka-dot mesh panelling throughout Boning channels to front and back Satin bows with double rosebud detail Contrast miniature satin bows Cut-out details Satin binding details throughout Gathered tulle waist overlay with cinching satin rouleau tie in contrast pink Padded hook and eye fastening with debossed logo Swan hook fastening to centre-back with adjuster Logo-engraved rings and sliders,"Body Evelyn – verde de Lounge. Tallas disponibles: XS, S, S+, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Body Evelyn – verde da Lounge. Tamanhos disponíveis: XS, S, S+, M, L, XL, XXL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Body Evelyn – verde. Disponible en Lounge EU desde 95.00 €.,Body Evelyn – verde. Disponível na Lounge EU desde 95.00 €.,"26/09/25,50%-discount,60-gifting-boost,bestsellers,collection-auto_basque-bodysuit,collection-auto_bodysuits,collection-auto_em-rata,collection-auto_evelyn,collection-auto_evelyn-bodysuit,collection-auto_festival-outfit,collection-auto_garden-of-eden,collection-auto_gifting,collection-auto_green-underwear,collection-auto_intimate-sets,collection-auto_intimates,collection-auto_partywear,collection-auto_underwear,collection-auto_valentines26,collection-auto_wuthering-heights,color_green,june-sale-26,main-swatch,staff-50,summer-sale-hero-26,top-section-boost,valentines-12",borrador_controlado_revisar_antes_de_publicar
lounge-6645986459684,lounge-eu,6645986459684,Priya Bodysuit - Black,Body Priya – negro,Body Priya – preto,Lounge Underwear,Intimates,lingerie_bodies,Lencería · Bodies,Lingerie · Bodies,women-fashion,featured,Black,negro,preto,"XS,S,S+,M",4,8,42.5,85.0,50,in_stock,new,True,2021-06-15,A,33,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=6645986459684&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fpriya-bodysuit-black&intsrc=CATF_35417,https://eu.lounge.com/products/priya-bodysuit-black,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1BlackPriyaBodysuit-Amber.jpg?v=1710413520|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2BlackPriyaBodysuit-Amber.jpg?v=1710413519|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3BlackPriyaBodysuit-Amber.jpg?v=1710413519|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4BlackPriyaBodysuit-Amber.jpg?v=1710413520|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5BlackPriyaBodysuit-Amber.jpg?v=1710413521|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6BlackPriyaBodysuit-Amber.jpg?v=1710413521,"Bodysuit with four-piece darted cups Floral embroidery on a sheer mesh with polka dot details Classic thong shape with cut out details Satin binding Adjustable Lounge embossed straps Rose gold Lounge engraved hardware Matching leg straps 40% Polyamide, 60% Polyester Set hearts racing with our Priya Bodysuit. Delicately constructed with four-piece darted cups and a dainty floral embroidery, you’ll be feeling radiant in no time.","Body Priya – negro de Lounge. Tallas disponibles: XS, S, S+, M. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Body Priya – preto da Lounge. Tamanhos disponíveis: XS, S, S+, M. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Body Priya – negro. Disponible en Lounge EU desde 42.50 €.,Body Priya – preto. Disponível na Lounge EU desde 42.50 €.,"50%-discount,black-friday-boost,brand-boost,collection-auto_basque-bodysuit,collection-auto_black-underwear,collection-auto_bodysuits,collection-auto_christmas,collection-auto_halloween,collection-auto_intimates,collection-auto_lace-sets,collection-auto_lena,collection-auto_outlet,collection-auto_underwear,collection-auto_valentines26,color_black,filter-collection-child_bodysuits,filter-collection-child_intimates,filter-collection_intimates,filter-color_black,first-boost,june-sale-26,merch-boost,micro-collection_bodysuits,moving-fast,only-swatch,outlet-14/05,outlet-boost-14/01,outlet-boost-campaign,outlet-boost-mid,outlet-boost-top,OUTLET-INTIMATES,OUTLET-JANUARY,OUTLET-MAIN-BOOST,size_bras,top-row-boost,top-section-boost,valentines-2024,xmas-eve-outlet,xmas-outlet-intimates",borrador_controlado_revisar_antes_de_publicar
lounge-15855285993854,lounge-eu,15855285993854,Soraya Bodysuit - Champagne,Body Soraya – champán,Body Soraya – champanhe,Lounge Underwear New,Intimates,lingerie_bodies,Lencería · Bodies,Lingerie · Bodies,women-fashion,featured,Champagne,champán,champanhe,"XS,S,S+,M,L,XL,XXL",7,7,85.0,,0,in_stock,new,True,2026-04-10,A,37,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15855285993854&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fsoraya-bodysuit-champagne&intsrc=CATF_35417,https://eu.lounge.com/products/soraya-bodysuit-champagne,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1.SorayaBodysuit.jpg?v=1779287990|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2.SorayaBodysuit.jpg?v=1779287991|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3.SorayaBodysuit.jpg?v=1779287991|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4.SorayaBodysuit.jpg?v=1779287991|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/5.SorayaBodysuit.jpg?v=1779287991|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/6.SorayaBodysuit.jpg?v=1779287991,"Bodysuit with three-piece Balcony cups Satin binding details Satin-covered wire casing Floral eyelash lace and all-over stretch lace fabrication Keyhole cut-out to centre-front Organza and skinny satin bow details Decorative strap elastic and picot elastic Cut-out details throughout Thick satin waistband with swan hook fastening Boning to top channels for shaping and comfort Satin outer gusset BCI cotton inner gusset liner Gold logo-engraved hardware throughout Padded hook and eye fastening with embossed logo Thong-shaped back with keyhole cut-out to centre-back The Soraya Bodysuit, in opulent Champagne, features a thick satin waistband that creates an effortlessly cinched waist. The stretch lace provides comfort, while the subtle boning and underwire come together to create our signature sculpted silhouette.","Body Soraya – champán de Lounge. Tallas disponibles: XS, S, S+, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Body Soraya – champanhe da Lounge. Tamanhos disponíveis: XS, S, S+, M, L, XL, XXL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Body Soraya – champán. Disponible en Lounge EU desde 85.00 €.,Body Soraya – champanhe. Disponível na Lounge EU desde 85.00 €.,"20%-discount,21/05/2026,additional-features,bestsellers,collection-auto_basque-bodysuit,collection-auto_bodysuits,collection-auto_bridal,collection-auto_cream-underwear,collection-auto_gifts-for-her,collection-auto_intimate-sets,collection-auto_intimates,collection-auto_partywear,collection-auto_underwear,color_champagne,color_cream,june-sale-26,latest-swatch,main-swatch,new,staff-50",borrador_controlado_revisar_antes_de_publicar
lounge-15855286026622,lounge-eu,15855286026622,Selene Basque Thong (Set) - Fig,Conjunto de corsé y tanga Selene – higo,Conjunto de corpete e tanga Selene – figo,Lounge Underwear New,Intimates Set Bottoms,lingerie_bottoms,Lencería · Braguitas y tangas,Lingerie · Cuecas e tangas,women-fashion,featured,Fig,higo,figo,"XS,S,M,L,XL,XXL",6,6,25.0,,0,in_stock,new,True,2026-04-10,A,34,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15855286026622&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fselene-basque-thong-fig&intsrc=CATF_35417,https://eu.lounge.com/products/selene-basque-thong-fig,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4.SeleneBasque.png?v=1779287993,,"Conjunto de corsé y tanga Selene – higo de Lounge. Tallas disponibles: XS, S, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Conjunto de corpete e tanga Selene – figo da Lounge. Tamanhos disponíveis: XS, S, M, L, XL, XXL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Conjunto de corsé y tanga Selene – higo. Disponible en Lounge EU desde 25.00 €.,Conjunto de corpete e tanga Selene – figo. Disponível na Lounge EU desde 25.00 €.,"20%-discount,21/05/2026,bestsellers,collection-auto_basque,collection-auto_basque-bodysuit,collection-auto_intimate-sets,collection-auto_intimates,collection-auto_lingerie,collection-auto_purple-underwear,collection-auto_underwear,color_fig,color_purple,june-sale-26,latest-swatch,main-swatch,new,staff-50",borrador_controlado_revisar_antes_de_publicar
lounge-15855283569022,lounge-eu,15855283569022,Roxanna Intimates Suspender & Thong (Set) - Fig,Conjunto de liguero y tanga Roxanna – higo,Conjunto de cinto de ligas e tanga Roxanna – figo,Lounge Underwear New,Intimates Set Bottoms,lingerie_bottoms,Lencería · Braguitas y tangas,Lingerie · Cuecas e tangas,women-fashion,featured,Fig,higo,figo,"XS,S,M,L,XL,XXL",6,6,50.0,,0,in_stock,new,True,2026-04-10,A,34,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15855283569022&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Froxanna-intimates-thong-fig&intsrc=CATF_35417,https://eu.lounge.com/products/roxanna-intimates-thong-fig,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2.RoxannaIntimatesSet.png?v=1779287991,,"Conjunto de liguero y tanga Roxanna – higo de Lounge. Tallas disponibles: XS, S, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Conjunto de cinto de ligas e tanga Roxanna – figo da Lounge. Tamanhos disponíveis: XS, S, M, L, XL, XXL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Conjunto de liguero y tanga Roxanna – higo. Disponible en Lounge EU desde 50.00 €.,Conjunto de cinto de ligas e tanga Roxanna – figo. Disponível na Lounge EU desde 50.00 €.,"20%-discount,21/05/2026,additional-features,bestsellers,collection-auto_gifts-for-her,collection-auto_intimate-sets,collection-auto_intimates,collection-auto_purple-underwear,collection-auto_underwear,color_fig color_purple,june-sale-26,latest-swatch,main-swatch,new,staff-50",borrador_controlado_revisar_antes_de_publicar
lounge-15855278784894,lounge-eu,15855278784894,Cassandra Intimates Suspender & G-String (Set) - Navy,Conjunto de liguero y tanga de hilo Cassandra – azul marino,Conjunto de cinto de ligas e fio dental Cassandra – azul-marinho,Lounge Underwear New,Intimates Set Bottoms,lingerie_bottoms,Lencería · Braguitas y tangas,Lingerie · Cuecas e tangas,women-fashion,featured,Navy,azul marino,azul-marinho,"XS,S,M,L,XL,XXL",6,6,50.0,,0,in_stock,new,True,2026-04-10,A,34,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15855278784894&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fcassandra-intimates-g-string-navy&intsrc=CATF_35417,https://eu.lounge.com/products/cassandra-intimates-g-string-navy,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/CassandraNavyIntimates4.jpg?v=1779287991,,"Conjunto de liguero y tanga de hilo Cassandra – azul marino de Lounge. Tallas disponibles: XS, S, M, L, XL, XXL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Conjunto de cinto de ligas e fio dental Cassandra – azul-marinho da Lounge. Tamanhos disponíveis: XS, S, M, L, XL, XXL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Conjunto de liguero y tanga de hilo Cassandra – azul marino. Disponible en Lounge EU desde 50.00 €.,Conjunto de cinto de ligas e fio dental Cassandra – azul-marinho. Disponível na Lounge EU desde 50.00 €.,"20%-discount,21/05/2026,additional-features,bestsellers,collection-auto_blue-underwear,collection-auto_intimate-sets,collection-auto_intimates,collection-auto_underwear,color_blue,color_navy,june-sale-26,latest-swatch,main-swatch,new,staff-50",borrador_controlado_revisar_antes_de_publicar
lounge-6645935734820,lounge-eu,6645935734820,Balcony Thong - Black,Tanga Balcony – negro,Tanga Balcony – preto,Lounge Underwear,Bottoms,lingerie_bottoms,Lencería · Braguitas y tangas,Lingerie · Cuecas e tangas,women-fashion,"under-10,featured",Black,negro,preto,"XXL,3XL",2,7,9.0,18.0,50,in_stock,new,True,2021-06-15,A,38,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=6645935734820&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fbalcony-thong-black&intsrc=CATF_35417,https://eu.lounge.com/products/balcony-thong-black,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1BlackBalconyThong-Amina_dd6ceb3b-e2fc-4053-be3b-252598ca211d.jpg?v=1710409412|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2BlackBalconyThong-Amina_81a3f1bd-1429-44ae-9829-cdc648f11f33.jpg?v=1710409413|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3BlackBalconyThong-Amina_602c6714-4e8d-4107-8462-9a3d4f926f69.jpg?v=1710409413|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4BlackBalconyThong-Amina_0a7e0022-6582-4818-ad34-78562f4d544e.jpg?v=1710409412,Soft floral lace Lounge branded banner,"Tanga Balcony – negro de Lounge. Tallas disponibles: XXL, 3XL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Tanga Balcony – preto da Lounge. Tamanhos disponíveis: XXL, 3XL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Tanga Balcony – negro. Disponible en Lounge EU desde 9.00 €.,Tanga Balcony – preto. Disponível na Lounge EU desde 9.00 €.,"50%-discount,best-selling-sets,bottoms-top-section,bottoms-under-10,bottoms_only,collection-auto_10-for-bottoms,collection-auto_6-FOR,collection-auto_balcony-thong,collection-auto_black-thongs,collection-auto_black-underwear,collection-auto_bottoms,collection-auto_bottomsoffer2,collection-auto_christmas23,collection-auto_christmas24,collection-auto_halloween,collection-auto_lace-thongs,collection-auto_outlet,collection-auto_sets-under,collection-auto_stocking-fillers,collection-auto_thongs,collection-auto_thongs-&-briefs,collection-auto_underwear,collection-auto_valentines25,color_black,filter-collection-child_thongs,filter-collection-child_thongs-&-briefs,filter-collection_thongs-&-briefs,filter-color_black,gift-box,group_balcony-thong,ignore-group,june-sale-26,micro-collection_balcony,micro-collection_bottoms-only-2,neutral-edit,outlet-14/05,outlet-boost-bottoms,OUTLET-JANUARY,sale-bottoms,size_thong,thongs,upsell_balcony-bottoms,upsell_group_balcony-bottoms,valentines-2024,xmas-eve-outlet",borrador_controlado_revisar_antes_de_publicar
lounge-6645935898660,lounge-eu,6645935898660,Balcony Thong - Red,Tanga Balcony – rojo,Tanga Balcony – vermelho,Lounge Underwear,Bottoms,lingerie_bottoms,Lencería · Braguitas y tangas,Lingerie · Cuecas e tangas,women-fashion,"under-10,featured",Red,rojo,vermelho,"XXL,3XL",2,7,9.0,18.0,50,in_stock,new,True,2021-06-15,A,38,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=6645935898660&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fbalcony-thong-red&intsrc=CATF_35417,https://eu.lounge.com/products/balcony-thong-red,https://cdn.shopify.com/s/files/1/0081/9006/6724/files/1RedBalcony_Thong-Kara_8a649535-0e98-44db-a28f-18f53d667bf3.jpg?v=1710409538|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/2RedBalcony_Thong-Kara_e9cd4a6b-05f7-4d87-ac21-14de010f76d1.jpg?v=1710409538|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/3RedBalcony_Thong-Kara_fb50d871-c3a0-47e5-b5fa-1690ed62819e.jpg?v=1710409537|https://cdn.shopify.com/s/files/1/0081/9006/6724/files/4RedBalcony_Thong-Kara_dc77547c-4cac-46a3-91cd-47b20c690cf6.jpg?v=1710409538,Soft floral lace Lounge branded banner,"Tanga Balcony – rojo de Lounge. Tallas disponibles: XXL, 3XL. El precio y el stock se confirman en la tienda antes de finalizar la compra.","Tanga Balcony – vermelho da Lounge. Tamanhos disponíveis: XXL, 3XL. O preço e o stock devem ser confirmados na loja antes de concluir a compra.",Tanga Balcony – rojo. Disponible en Lounge EU desde 9.00 €.,Tanga Balcony – vermelho. Disponível na Lounge EU desde 9.00 €.,"50%-discount,best-selling-sets,bottoms-top-section,bottoms-under-10,bottoms_only,collection-auto_10-for-bottoms,collection-auto_6-FOR,collection-auto_balcony-thong,collection-auto_bottoms,collection-auto_bottomsoffer2,collection-auto_christmas,collection-auto_christmas23,collection-auto_christmas24,collection-auto_halloween,collection-auto_lace-thongs,collection-auto_outlet,collection-auto_red-thongs,collection-auto_red-underwear,collection-auto_sets-under,collection-auto_stocking-fillers,collection-auto_thongs,collection-auto_thongs-&-briefs,collection-auto_underwear,collection-auto_valentines25,collection-middle,color_red,filter-collection-child_thongs-&-briefs,filter-collection_thongs-&-briefs,filter-color_red,filter_collection_child-thongs,group_balcony-thong,ignore-group,june-sale-26,latest-swatch,micro-collection_balcony,micro-collection_bottoms-only-2,outlet-14/05,outlet-boost-bottoms,OUTLET-JANUARY,size_thong,thongs,upsell_balcony-bottoms,upsell_group_balcony-bottoms,valentines-2024,xmas-eve-outlet",borrador_controlado_revisar_antes_de_publicar
